	weight	causal_ROC	independent_ROC
3255	(0.1, 0.1, 0.05, 0.25, 0.2, 0.3)	0.8696166252952957	0.8881532456259721
5559	(0.15, 0.15, 0.05, 0.25, 0.25, 0.15)	0.8696164654059392	0.8872343315853934
1187	(0.05, 0.15, 0.05, 0.25, 0.2, 0.3)	0.8696102297210332	0.8869427412363946
169	(0.05, 0.05, 0.1, 0.25, 0.25, 0.3)	0.8696058327637275	0.88673403385382
5551	(0.15, 0.15, 0.05, 0.2, 0.25, 0.2)	0.8696030346999876	0.8884652700737615
2753	(0.1, 0.05, 0.05, 0.25, 0.4, 0.15)	0.8695969589044382	0.8854756718939009
160	(0.05, 0.05, 0.1, 0.2, 0.35, 0.25)	0.8695920023343846	0.886353859094999
3331	(0.1, 0.1, 0.1, 0.2, 0.3, 0.2)	0.8695914427216367	0.8870779188468798
777	(0.05, 0.1, 0.1, 0.25, 0.25, 0.25)	0.8695910429982452	0.8860949617334198
767	(0.05, 0.1, 0.1, 0.2, 0.25, 0.3)	0.8695865660962614	0.8872342216402038
3661	(0.1, 0.15, 0.05, 0.25, 0.2, 0.25)	0.8695844875346261	0.8875096500463465
1586	(0.05, 0.2, 0.05, 0.2, 0.3, 0.2)	0.8695823290283123	0.8857097609087932
2759	(0.1, 0.05, 0.05, 0.3, 0.2, 0.3)	0.8695800106326422	0.8876969652363362
2846	(0.1, 0.05, 0.1, 0.25, 0.3, 0.2)	0.8695782518497199	0.8865759405245529
2769	(0.1, 0.05, 0.05, 0.35, 0.25, 0.2)	0.8695780120156851	0.8859750193849076
6721	(0.2, 0.1, 0.05, 0.25, 0.25, 0.15)	0.8695708169946397	0.8883815075458212
2836	(0.1, 0.05, 0.1, 0.2, 0.3, 0.25)	0.8695698576585004	0.8877636941131325
661	(0.05, 0.1, 0.05, 0.15, 0.35, 0.3)	0.8695693779904307	0.8879144996469818
6393	(0.2, 0.05, 0.05, 0.25, 0.25, 0.2)	0.8695662601479777	0.88903074959625
1169	(0.05, 0.15, 0.05, 0.15, 0.35, 0.25)	0.8695641815863422	0.8871553752328796
3249	(0.1, 0.1, 0.05, 0.2, 0.4, 0.15)	0.869560743965176	0.886045337186818
66	(0.05, 0.05, 0.05, 0.3, 0.2, 0.35)	0.8695587453482191	0.8870265587369297
1594	(0.05, 0.2, 0.05, 0.25, 0.25, 0.2)	0.8695517901612084	0.8852566846361084
3670	(0.1, 0.15, 0.05, 0.3, 0.25, 0.15)	0.869551390437817	0.8854702845796154
5236	(0.15, 0.1, 0.05, 0.25, 0.35, 0.1)	0.8695478728719727	0.8860767265384191
778	(0.05, 0.1, 0.1, 0.25, 0.3, 0.2)	0.869547153369868	0.8851702048913421
2845	(0.1, 0.05, 0.1, 0.25, 0.25, 0.25)	0.8695445151954846	0.8873236856115422
1168	(0.05, 0.15, 0.05, 0.15, 0.3, 0.3)	0.8695438756380585	0.8879901576438105
6401	(0.2, 0.05, 0.05, 0.3, 0.25, 0.15)	0.8695417171317447	0.8879556348543088
1196	(0.05, 0.15, 0.05, 0.3, 0.2, 0.25)	0.8695374001191176	0.885754689225158
3982	(0.1, 0.2, 0.05, 0.2, 0.25, 0.2)	0.8695366006723346	0.8871712308998505
3330	(0.1, 0.1, 0.1, 0.2, 0.25, 0.25)	0.869534682000056	0.8877888872679827
5241	(0.15, 0.1, 0.05, 0.3, 0.2, 0.2)	0.8695321237703508	0.8875640650619194
6714	(0.2, 0.1, 0.05, 0.2, 0.3, 0.15)	0.8695311644342116	0.8888023306118443
3339	(0.1, 0.1, 0.1, 0.25, 0.25, 0.2)	0.8695306048214637	0.886628580710638
5233	(0.15, 0.1, 0.05, 0.25, 0.2, 0.25)	0.8695234098004181	0.888581804121399
4821	(0.15, 0.05, 0.05, 0.2, 0.4, 0.15)	0.8695208515707131	0.8873671061081653
3237	(0.1, 0.1, 0.05, 0.15, 0.35, 0.25)	0.8695162147793726	0.88848192676997
78	(0.05, 0.05, 0.05, 0.35, 0.3, 0.2)	0.8695112582093191	0.884314140233016
769	(0.05, 0.1, 0.1, 0.2, 0.35, 0.2)	0.8695077406434747	0.8855098412881504
701	(0.05, 0.1, 0.05, 0.35, 0.25, 0.2)	0.8695061417499091	0.8844816338759851
2739	(0.1, 0.05, 0.05, 0.2, 0.25, 0.35)	0.8695032637414909	0.8891127058817911
2837	(0.1, 0.05, 0.1, 0.2, 0.35, 0.2)	0.8694956689970541	0.8869039070248191
1262	(0.05, 0.15, 0.1, 0.2, 0.25, 0.25)	0.8694941500481668	0.8864779322413451
3669	(0.1, 0.15, 0.05, 0.3, 0.2, 0.2)	0.8694938302694536	0.886305035577635
6385	(0.2, 0.05, 0.05, 0.2, 0.3, 0.2)	0.8694935904354189	0.8894454707042562
6386	(0.2, 0.05, 0.05, 0.2, 0.35, 0.15)	0.8694922313758879	0.8886751083211419
3645	(0.1, 0.15, 0.05, 0.15, 0.3, 0.25)	0.8694817586230329	0.8885284492915824
45	(0.05, 0.05, 0.05, 0.2, 0.25, 0.4)	0.8694811190656067	0.8884539378660155
4836	(0.15, 0.05, 0.05, 0.3, 0.2, 0.25)	0.8694787207252581	0.8881523110918613
6395	(0.2, 0.05, 0.05, 0.25, 0.35, 0.1)	0.8694754429934487	0.8873105942807643
